obs;MSFT;GE;GM;IBM;DIS;XOM;MKT;RKFREE
1995M01;-0,02863;0,00980;-0,07715;-0,01871;0,10761;0,02881;0,02040;0,0042
1995M02;0,06105;0,06311;0,10161;0,04679;0,04914;0,03400;0,03961;0,0040
1995M03;0,12897;-0,00621;0,03226;0,09136;0,00234;0,04305;0,02704;0,0046
1995M04;0,14938;0,03704;0,02557;0,15221;0,03673;0,04315;0,02505;0,0044
1995M05;0,03593;0,03571;0,07036;-0,01453;0,00226;0,03777;0,03401;0,0054
1995M06;0,06716;-0,02095;-0,02344;0,03226;0,00000;-0,01051;0,03117;0,0047
1995M07;0,00138;0,04656;0,04000;0,13411;0,05793;0,02655;0,04078;0,0045
1995M08;0,02210;-0,00212;-0,02718;-0,04822;-0,04051;-0,04138;0,00931;0,0047
1995M09;-0,02162;0,08977;-0,00531;-0,08585;0,02000;0,05091;0,03636;0,0043
1995M10;0,10497;-0,00784;-0,06667;0,02910;0,00593;0,05709;-0,01131;0,0047
1995M11;-0,12875;0,06126;0,11543;-0,00386;0,04338;0,02291;0,04271;0,0042
1995M12;0,00717;0,07948;0,09021;-0,05433;-0,01929;0,04847;0,01519;0,0049
1996M01;0,05413;0,06597;-0,00473;0,18741;0,09130;-0,01079;0,02815;0,0043
1996M02;0,06689;-0,01629;-0,01853;0,13249;0,01946;0,00000;0,01630;0,0039
1996M03;0,04497;0,03755;0,03902;-0,09276;-0,02481;0,02516;0,01093;0,0039
1996M04;0,09818;-0,00803;0,01878;-0,03146;-0,02763;0,04294;0,02552;0,0046
1996M05;0,04857;0,07120;0,02350;-0,00603;-0,02016;0,00635;0,02680;0,0042
1996M06;0,01158;0,04834;-0,04989;-0,07260;0,03498;0,02507;-0,00828;0,0040
1996M07;-0,01873;-0,04657;-0,06921;0,08586;-0,11356;-0,05324;-0,05381;0,0045
1996M08;0,03924;0,01064;0,02615;0,06721;0,02472;0,00049;0,03247;0,0041
1996M09;0,07653;0,10027;-0,03275;0,08852;0,10965;0,02147;0,05299;0,0044
1996M10;0,04076;0,06319;0,11719;0,03614;0,04324;0,06456;0,01363;0,0042
1996M11;0,14299;0,07494;0,08205;0,23818;0,12144;0,07379;0,06552;0,0041
1996M12;0,05339;-0,04428;-0,03254;-0,04941;-0,05584;0,03841;-0,01136;0,0046
1997M01;0,23449;0,04678;0,05830;0,03548;0,04638;0,05740;0,05345;0,0045
1997M02;-0,04412;-0,00604;-0,01059;-0,08143;0,01887;-0,02495;-0,00116;0,0039
1997M03;-0,05962;-0,03018;-0,04320;-0,04522;-0,01852;0,07481;-0,04481;0,0043
1997M04;0,32515;0,11839;0,04515;0,16940;0,12360;0,05104;0,04230;0,0043
1997M05;0,02058;0,08784;0,00000;0,08037;0,00153;0,05360;0,07163;0,0049
1997M06;0,01915;0,07660;-0,02832;0,04335;-0,01985;0,03376;0,04413;0,0037
1997M07;0,11968;0,08285;0,10987;0,17175;0,00866;0,04898;0,07652;0,0043
1997M08;-0,06581;-0,10784;0,02222;-0,03948;-0,04950;-0,04128;-0,03624;0,0041
1997M09;0,00095;0,09207;0,06673;0,04562;0,04963;0,04699;0,05846;0,0044
