date,log_quantity,log_price,income
1960,5.59,3.45,605.0895
1961,5.8,3.45,620.928
1962,6.15,3.37,657.1916
1963,6.33,3.4,683.6544
1964,6.58,3.39,719.691
1965,6.97,3.34,763.0926
1966,7.38,3.24,808.4439
1967,7.87,3.2 ,830.3237
1968,8.03,3.11,868.4894
1969,8.54,3.05,893.1093
1970,8.88,2.99,891.5632
1971,9.16,3.07,921.3754
1972,9.58,3.17,973.7378
1973,9.68,3.21,1030.33
1974,9.33,3.7,1024.9
1975,9.27,3.83,1013.46
1976,9.79,3.94,1072.646
1977,9.69,4.3,1129.152
1978,10.14,4.3,1187.589
1979,9.25,4.69,1220.267
1980,8.98,5.26,1218.294
1981,8.92,5.5,1263.556
1982,8.58,5.93,1229.562
1983,8.41,6.33,1264.674
1984,8.54,6.32,1331.542
1985,8.68,6.1,1359.131
