conum;year;gdp;pop;gold;silver;bronze;medaltot;host;planned;soviet;share
1;80;26600000000;16000000;0;0;0;0;0;0;0;0
1;84;29900000000;17600000;NA;NA;NA;NA;0;0;0;NA
2;80;2450000000;2671000;NA;NA;NA;NA;0;1;0;NA
2;84;2660000000;2897000;NA;NA;NA;NA;0;1;0;NA
2;88;2800000000;3138000;NA;NA;NA;NA;0;1;0;NA
3;80;31600000000;18700000;0;0;0;0;0;0;0;0
3;84;38500000000;21200000;0;0;2;2;0;0;0;0
3;60;12400000000;10800000;NA;NA;NA;NA;0;0;0;NA
6;80;4990000000;7019000;0;0;0;0;0;0;0;0
6;84;5190000000;7799500;NA;NA;NA;NA;0;0;0;NA
7;84;248000000;61800;0;0;0;0;0;0;0;0
7;80;207000000;61000;NA;NA;NA;NA;0;0;0;NA
8;84;231000000000;29900000;0;0;0;0;0;0;0;0
8;80;237000000000;28100000;NA;NA;NA;NA;0;0;0;NA
9;92;3000000000;3686000;NA;NA;NA;NA;0;0;0;NA
11;80;231000000000;14700000;2;2;5;9;0;0;0;0
11;84;258000000000;15500000;4;8;12;24;0;0;0;0
12;84;176000000000;7552000;1;1;1;3;0;0;0;0
12;80;167000000000;7553000;1;2;1;4;0;0;0;0
13;88;11700000000;7004000;NA;NA;NA;NA;0;0;0;NA
13;92;6220000000;7333000;NA;NA;NA;NA;0;0;0;NA
14;84;3060000000;229000;0;0;0;0;0;0;0;0
14;80;2670000000;210000;NA;NA;NA;NA;0;0;0;NA
15;84;3930000000;407330;0;0;0;0;0;0;0;0
15;76;3070000000;275000;NA;NA;NA;NA;0;0;0;NA
15;80;4020000000;334000;NA;NA;NA;NA;0;0;0;NA
16;84;23800000000;95600000;0;0;0;0;0;0;0;0
16;60;11100000000;51400000;NA;NA;NA;NA;0;0;0;NA
16;64;13700000000;56800000;NA;NA;NA;NA;0;0;0;NA
16;68;15300000000;63100000;NA;NA;NA;NA;0;0;0;NA
16;72;13300000000;70400000;NA;NA;NA;NA;0;0;0;NA
16;76;16200000000;78600000;NA;NA;NA;NA;0;0;0;NA
16;80;19000000000;86700000;NA;NA;NA;NA;0;0;0;NA
17;84;1510000000;252600;0;0;0;0;0;0;0;0
17;60;635000000;230700;NA;NA;NA;NA;0;0;0;NA
17;64;744000000;234300;NA;NA;NA;NA;0;0;0;NA
17;80;1580000000;249100;NA;NA;NA;NA;0;0;0;NA
18;92;25500000000;10300000;NA;NA;NA;NA;0;0;0;NA
19;84;219000000000;9853000;1;1;2;4;0;0;0;0
19;80;214000000000;9847000;1;0;0;1;0;0;0;0
20;84;300000000;162000;0;0;0;0;0;0;0;0
20;60;89000000;91050;NA;NA;NA;NA;0;0;0;NA
20;64;108000000;104600;NA;NA;NA;NA;0;0;0;NA
20;80;297000000;146000;NA;NA;NA;NA;0;0;0;NA
21;80;1210000000;3464000;0;0;0;0;0;0;0;0
21;84;1410000000;3916360;0;0;0;0;0;0;0;0
21;60;697000000;2050000;NA;NA;NA;NA;0;0;0;NA
21;64;775000000;2271830;NA;NA;NA;NA;0;0;0;NA
21;68;887000000;2522050;NA;NA;NA;NA;0;0;0;NA
21;72;977000000;2799960;NA;NA;NA;NA;0;0;0;NA
21;92;1780000000;5029000;NA;NA;NA;NA;0;0;0;NA
22;84;1920000000;55600;0;0;0;0;0;0;0;0
22;80;1880000000;54000;NA;NA;NA;NA;0;0;0;NA
23;84;160000000;528080;0;0;0;0;0;0;0;0
23;80;119000000;487880;NA;NA;NA;NA;0;0;0;NA
24;84;5010000000;5780480;0;0;0;0;0;0;0;0
24;60;2080000000;3351000;NA;NA;NA;NA;0;0;0;NA
24;80;5440000000;5355000;NA;NA;NA;NA;0;0;0;NA
26;80;1410000000;906000;0;0;0;0;0;0;0;0
26;84;2140000000;1043830;0;0;0;0;0;0;0;0
26;60;154000000;480000;NA;NA;NA;NA;0;0;0;NA
26;64;198000000;533960;NA;NA;NA;NA;0;0;0;NA
26;68;252000000;596850;NA;NA;NA;NA;0;0;0;NA
26;72;522000000;682480;NA;NA;NA;NA;0;0;0;NA
26;76;904000000;786150;NA;NA;NA;NA;0;0;0;NA
27;84;506000000000;133000000;1;5;2;8;0;0;0;0
27;80;517000000000;122000000;2;0;2;4;0;0;0;0
28;84;122000000;NA;0;0;0;0;0;0;0;NA
28;88;161000000;NA;0;0;0;0;0;0;0;NA
28;92;191000000;NA;NA;NA;NA;NA;0;0;0;NA
29;76;4270000000;167420;NA;NA;NA;NA;0;0;0;NA
29;80;5760000000;193000;NA;NA;NA;NA;0;0;0;NA
29;84;4860000000;217300;NA;NA;NA;NA;0;0;0;NA
30;80;11800000000;8862000;8;16;17;41;0;0;1;0
30;84;13500000000;8925000;NA;NA;NA;NA;0;0;1;NA
31;60;781000000;4630000;NA;NA;NA;NA;0;0;0;NA
31;64;871000000;5003720;NA;NA;NA;NA;0;0;0;NA
31;68;1020000000;5414820;NA;NA;NA;NA;0;0;0;NA
31;72;1080000000;5848380;NA;NA;NA;NA;0;0;0;NA
31;80;1440000000;6962000;NA;NA;NA;NA;0;0;0;NA
31;84;1620000000;7689580;NA;NA;NA;NA;0;0;0;NA
32;60;373000000;2941000;NA;NA;NA;NA;0;0;0;NA
32;64;388000000;3140770;NA;NA;NA;NA;0;0;0;NA
32;68;479000000;3413680;NA;NA;NA;NA;0;0;0;NA
32;72;551000000;3561000;NA;NA;NA;NA;0;0;0;NA
32;76;635000000;3744380;NA;NA;NA;NA;0;0;0;NA
32;80;720000000;4130000;NA;NA;NA;NA;0;0;0;NA
32;84;830000000;4609610;NA;NA;NA;NA;0;0;0;NA
32;88;1060000000;5158420;NA;NA;NA;NA;0;0;0;NA
32;92;1180000000;5748200;NA;NA;NA;NA;0;0;0;NA
33;88;2090000000;8115690;NA;NA;NA;NA;0;0;0;NA
33;92;2520000000;9193480;NA;NA;NA;NA;0;0;0;NA
34;80;6320000000;8655000;0;0;0;0;0;0;0;0
34;84;9140000000;9692440;0;0;0;0;0;0;0;0
34;60;2740000000;5296000;NA;NA;NA;NA;0;0;0;NA
35;84;439000000000;25700000;10;18;16;44;0;0;0;0
35;80;404000000000;24600000;NA;NA;NA;NA;0;0;0;NA
36;84;271000000;304840;NA;NA;NA;NA;0;0;0;NA
36;88;333000000;327970;NA;NA;NA;NA;0;0;0;NA
36;92;371000000;354740;NA;NA;NA;NA;0;0;0;NA
37;84;336000000;20389,2402344;0;0;0;0;0;0;0;0
37;80;259000000;17465,1503906;NA;NA;NA;NA;0;0;0;NA
37;92;605000000;27788,0703125;NA;NA;NA;NA;0;0;0;NA
38;84;1060000000;2545150;0;0;0;0;0;0;0;0
38;60;722000000;1534000;NA;NA;NA;NA;0;0;0;NA
38;64;739000000;1646220;NA;NA;NA;NA;0;0;0;NA
38;72;883000000;1926720;NA;NA;NA;NA;0;0;0;NA
38;80;992000000;2313000;NA;NA;NA;NA;0;0;0;NA
39;84;878000000;4988890;0;0;0;0;0;0;0;0
39;60;888000000;3064000;NA;NA;NA;NA;0;0;0;NA
39;80;787000000;4477000;NA;NA;NA;NA;0;0;0;NA
40;80;27000000000;11100000;NA;NA;NA;NA;0;0;0;NA
40;84;26400000000;11900000;NA;NA;NA;NA;0;0;0;NA
41;84;240000000000;1040000000;15;8;9;32;0;1;0;0
41;60;66100000000;667000000;NA;NA;NA;NA;0;1;0;NA
41;64;57800000000;698000000;NA;NA;NA;NA;0;1;0;NA
41;68;68500000000;775000000;NA;NA;NA;NA;0;1;0;NA
41;72;107000000000;862000000;NA;NA;NA;NA;0;1;0;NA
41;76;119000000000;931000000;NA;NA;NA;NA;0;1;0;NA
41;80;167000000000;981000000;NA;NA;NA;NA;0;1;0;NA
42;80;46000000000;28400000;0;0;0;0;0;0;0;0
42;84;49800000000;31000000;0;1;0;1;0;0;0;0
43;80;167000000;335000;NA;NA;NA;NA;0;0;0;NA
43;84;201000000;369450;NA;NA;NA;NA;0;0;0;NA
43;88;219000000;409860;NA;NA;NA;NA;0;0;0;NA
43;92;229000000;455260;NA;NA;NA;NA;0;0;0;NA
44;84;9220000000;30700000;0;0;0;0;0;0;0;0
44;60;6020000000;15300000;NA;NA;NA;NA;0;0;0;NA
44;64;6680000000;17100000;NA;NA;NA;NA;0;0;0;NA
44;68;7440000000;19200000;NA;NA;NA;NA;0;0;0;NA
44;80;8460000000;27000000;NA;NA;NA;NA;0;0;0;NA
45;80;1290000000;1669000;0;0;0;0;0;0;0;0
45;84;2130000000;1868080;0;0;0;0;0;0;0;0
45;60;464000000;988000;NA;NA;NA;NA;0;0;0;NA
47;80;5680000000;2284000;0;0;0;0;0;0;0;0
47;84;5710000000;2565010;0;0;0;0;0;0;0;0
47;60;1820000000;1236000;NA;NA;NA;NA;0;0;0;NA
48;84;8220000000;9532520;0;1;0;1;0;0;0;0
48;60;2200000000;3779000;NA;NA;NA;NA;0;0;0;NA
48;80;8480000000;8194000;NA;NA;NA;NA;0;0;0;NA
50;80;16800000000;9710000;8;7;5;20;0;0;1;0
50;84;24100000000;9994000;NA;NA;NA;NA;0;0;1;NA
50;88;25800000000;10400000;NA;NA;NA;NA;0;0;1;NA
51;80;3600000000;611000;0;0;0;0;0;0;0;0
